p,strategy_A,strategy_B,is_bne,symmetric,A_low_action,A_high_action,B_low_action,B_high_action,max_deviation_gain,expected_payoff_A,expected_payoff_B
0.22,PL,LL,False,False,P,L,L,L,1.2,-0.264,0.22
0.22,PL,PL,False,True,P,L,P,L,0.76,0.0528,0.0528
0.22,PL,LP,False,False,P,L,L,P,1.76,0.8592,-1.1528
0.22,PL,PP,False,False,P,L,P,P,1.76,1.1760000000000002,-1.32
0.22,LP,LL,False,False,L,P,L,L,2.2,-1.7160000000000002,0.78
0.22,LP,PL,False,False,L,P,P,L,1.76,-1.1528,0.8592
0.22,LP,LP,False,True,L,P,L,P,0.6400000000000001,0.28079999999999994,0.28079999999999994
0.22,LP,PP,False,False,L,P,P,P,0.8,0.8440000000000001,0.3599999999999999
0.22,PP,LL,False,False,P,P,L,L,2.2,-1.9800000000000002,1.0
0.22,PP,PL,False,False,P,P,P,L,1.76,-1.32,1.1760000000000002
0.22,PP,LP,False,False,P,P,L,P,0.8,0.3599999999999999,0.8440000000000001
0.22,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.02,1.02
0.23,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.23,LL,PL,False,False,L,L,P,L,1.2,0.23,-0.276
0.23,LL,LP,False,False,L,L,L,P,2.2,0.77,-1.6940000000000002
0.23,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9700000000000002
0.23,PL,LL,False,False,P,L,L,L,1.2,-0.276,0.23
0.23,PL,PL,False,True,P,L,P,L,0.74,0.059800000000000006,0.059800000000000006
0.23,PL,LP,False,False,P,L,L,P,1.7399999999999998,0.8482000000000001,-1.1098
0.23,PL,PP,False,False,P,L,P,P,1.7399999999999998,1.1840000000000002,-1.2799999999999998
0.23,LP,LL,False,False,L,P,L,L,2.2,-1.6940000000000002,0.77
0.23,LP,PL,False,False,L,P,P,L,1.7399999999999998,-1.1098,0.8482000000000001
0.23,LP,LP,False,True,L,P,L,P,0.6599999999999999,0.2618000000000001,0.2618000000000001
0.23,LP,PP,False,False,L,P,P,P,0.8,0.8460000000000001,0.3400000000000001
0.23,PP,LL,False,False,P,P,L,L,2.2,-1.9700000000000002,1.0
0.23,PP,PL,False,False,P,P,P,L,1.7399999999999998,-1.2799999999999998,1.1840000000000002
0.23,PP,LP,False,False,P,P,L,P,0.8,0.3400000000000001,0.8460000000000001
0.23,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.0300000000000002,1.0300000000000002
0.24,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.24,LL,PL,False,False,L,L,P,L,1.2,0.24,-0.288
0.24,LL,LP,False,False,L,L,L,P,2.2,0.76,-1.6720000000000002
0.24,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9600000000000002
0.24,PL,LL,False,False,P,L,L,L,1.2,-0.288,0.24
0.24,PL,PL,False,True,P,L,P,L,0.72,0.0672,0.0672
0.24,PL,LP,False,False,P,L,L,P,1.72,0.8368,-1.0672
0.24,PL,PP,False,False,P,L,P,P,1.72,1.192,-1.24
0.24,LP,LL,False,False,L,P,L,L,2.2,-1.6720000000000002,0.76
0.24,LP,PL,False,False,L,P,P,L,1.72,-1.0672,0.8368
0.24,LP,LP,False,True,L,P,L,P,0.6799999999999997,0.24320000000000022,0.24320000000000022
0.24,LP,PP,False,False,L,P,P,P,0.8,0.8480000000000001,0.3200000000000003
0.24,PP,LL,False,False,P,P,L,L,2.2,-1.9600000000000002,1.0
0.24,PP,PL,False,False,P,P,P,L,1.72,-1.24,1.192
0.24,PP,LP,False,False,P,P,L,P,0.8,0.3200000000000003,0.8480000000000001
0.24,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.04,1.04
0.25,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.25,LL,PL,False,False,L,L,P,L,1.2,0.25,-0.3
0.25,LL,LP,False,False,L,L,L,P,2.2,0.75,-1.6500000000000001
0.25,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9500000000000002
0.25,PL,LL,False,False,P,L,L,L,1.2,-0.3,0.25
0.25,PL,PL,False,True,P,L,P,L,0.7,0.075,0.075
0.25,PL,LP,False,False,P,L,L,P,1.7,0.825,-1.025
0.25,PL,PP,False,False,P,L,P,P,1.7,1.2,-1.2
0.25,LP,LL,False,False,L,P,L,L,2.2,-1.6500000000000001,0.75
0.25,LP,PL,False,False,L,P,P,L,1.7,-1.025,0.825
0.25,LP,LP,False,True,L,P,L,P,0.7,0.22500000000000003,0.22500000000000003
0.25,LP,PP,False,False,L,P,P,P,0.8,0.8500000000000001,0.30000000000000004
0.25,PP,LL,False,False,P,P,L,L,2.2,-1.9500000000000002,1.0
0.25,PP,PL,False,False,P,P,P,L,1.7,-1.2,1.2
0.25,PP,LP,False,False,P,P,L,P,0.8,0.30000000000000004,0.8500000000000001
0.25,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.05,1.05
0.26,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.26,LL,PL,False,False,L,L,P,L,1.2,0.26,-0.312
0.26,LL,LP,False,False,L,L,L,P,2.2,0.74,-1.6280000000000001
0.26,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9400000000000002
0.26,PL,LL,False,False,P,L,L,L,1.2,-0.312,0.26
0.26,PL,PL,False,True,P,L,P,L,0.6799999999999999,0.08320000000000001,0.08320000000000001
0.26,PL,LP,False,False,P,L,L,P,1.68,0.8128,-0.9832
0.26,PL,PP,False,False,P,L,P,P,1.68,1.208,-1.16
0.26,LP,LL,False,False,L,P,L,L,2.2,-1.6280000000000001,0.74
0.26,LP,PL,False,False,L,P,P,L,1.68,-0.9832,0.8128
0.26,LP,LP,False,True,L,P,L,P,0.7200000000000002,0.20719999999999986,0.20719999999999986
0.26,LP,PP,False,False,L,P,P,P,0.8,0.852,0.2799999999999998
0.26,PP,LL,False,False,P,P,L,L,2.2,-1.9400000000000002,1.0
0.26,PP,PL,False,False,P,P,P,L,1.68,-1.16,1.208
0.26,PP,LP,False,False,P,P,L,P,0.8,0.2799999999999998,0.852
0.26,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.06,1.06
0.27,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.27,LL,PL,False,False,L,L,P,L,1.2,0.27,-0.324
0.27,LL,LP,False,False,L,L,L,P,2.2,0.73,-1.606
0.27,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9300000000000002
0.27,PL,LL,False,False,P,L,L,L,1.2,-0.324,0.27
0.27,PL,PL,False,True,P,L,P,L,0.6599999999999999,0.0918,0.0918
0.27,PL,LP,False,False,P,L,L,P,1.66,0.8002,-0.9418
0.27,PL,PP,False,False,P,L,P,P,1.66,1.216,-1.1199999999999999
0.27,LP,LL,False,False,L,P,L,L,2.2,-1.606,0.73
0.27,LP,PL,False,False,L,P,P,L,1.66,-0.9418,0.8002
0.27,LP,LP,False,True,L,P,L,P,0.74,0.1898,0.1898
0.27,LP,PP,False,False,L,P,P,P,0.8,0.854,0.26
0.27,PP,LL,False,False,P,P,L,L,2.2,-1.9300000000000002,1.0
0.27,PP,PL,False,False,P,P,P,L,1.66,-1.1199999999999999,1.216
0.27,PP,LP,False,False,P,P,L,P,0.8,0.26,0.854
0.27,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.07,1.07
0.28,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.28,LL,PL,False,False,L,L,P,L,1.2,0.28,-0.336
0.28,LL,LP,False,False,L,L,L,P,2.2,0.72,-1.584
0.28,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9200000000000002
0.28,PL,LL,False,False,P,L,L,L,1.2,-0.336,0.28
0.28,PL,PL,False,True,P,L,P,L,0.6399999999999999,0.10080000000000001,0.10080000000000001
0.28,PL,LP,False,False,P,L,L,P,1.64,0.7872000000000001,-0.9007999999999998
0.28,PL,PP,False,False,P,L,P,P,1.64,1.2240000000000002,-1.0799999999999998
0.28,LP,LL,False,False,L,P,L,L,2.2,-1.584,0.72
0.28,LP,PL,False,False,L,P,P,L,1.64,-0.9007999999999998,0.7872000000000001
0.28,LP,LP,False,True,L,P,L,P,0.7599999999999998,0.17280000000000015,0.17280000000000015
0.28,LP,PP,False,False,L,P,P,P,0.8,0.856,0.24000000000000024
0.28,PP,LL,False,False,P,P,L,L,2.2,-1.9200000000000002,1.0
0.28,PP,PL,False,False,P,P,P,L,1.64,-1.0799999999999998,1.2240000000000002
0.28,PP,LP,False,False,P,P,L,P,0.8,0.24000000000000024,0.856
0.28,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.08,1.08
0.29,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.29,LL,PL,False,False,L,L,P,L,1.2,0.29,-0.348
0.29,LL,LP,False,False,L,L,L,P,2.2,0.71,-1.562
0.29,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9100000000000001
0.29,PL,LL,False,False,P,L,L,L,1.2,-0.348,0.29
0.29,PL,PL,False,True,P,L,P,L,0.6200000000000001,0.11019999999999994,0.11019999999999994
0.29,PL,LP,False,False,P,L,L,P,1.62,0.7737999999999999,-0.8602000000000001
0.29,PL,PP,False,False,P,L,P,P,1.62,1.232,-1.04
0.29,LP,LL,False,False,L,P,L,L,2.2,-1.562,0.71
0.29,LP,PL,False,False,L,P,P,L,1.62,-0.8602000000000001,0.7737999999999999
0.29,LP,LP,False,True,L,P,L,P,0.78,0.15619999999999992,0.15619999999999992
0.29,LP,PP,False,False,L,P,P,P,0.8,0.8579999999999999,0.2199999999999999
0.29,PP,LL,False,False,P,P,L,L,2.2,-1.9100000000000001,1.0
0.29,PP,PL,False,False,P,P,P,L,1.62,-1.04,1.232
0.29,PP,LP,False,False,P,P,L,P,0.8,0.2199999999999999,0.8579999999999999
0.29,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.0899999999999999,1.0899999999999999
0.3,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.3,LL,PL,False,False,L,L,P,L,1.2,0.3,-0.36
0.3,LL,LP,False,False,L,L,L,P,2.2,0.7,-1.54
0.3,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.9
0.3,PL,LL,False,False,P,L,L,L,1.2,-0.36,0.3
0.3,PL,PL,False,True,P,L,P,L,0.6000000000000001,0.11999999999999997,0.11999999999999997
0.3,PL,LP,False,False,P,L,L,P,1.6,0.7599999999999998,-0.82
0.3,PL,PP,False,False,P,L,P,P,1.6,1.24,-1.0
0.3,LP,LL,False,False,L,P,L,L,2.2,-1.54,0.7
0.3,LP,PL,False,False,L,P,P,L,1.6,-0.82,0.7599999999999998
0.3,LP,LP,False,True,L,P,L,P,0.8000000000000003,0.1399999999999998,0.1399999999999998
0.3,LP,PP,False,False,L,P,P,P,0.8000000000000003,0.8599999999999999,0.19999999999999968
0.3,PP,LL,False,False,P,P,L,L,2.2,-1.9,1.0
0.3,PP,PL,False,False,P,P,P,L,1.6,-1.0,1.24
0.3,PP,LP,False,False,P,P,L,P,0.8000000000000003,0.19999999999999968,0.8599999999999999
0.3,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.1,1.1
0.31,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.31,LL,PL,False,False,L,L,P,L,1.2,0.31,-0.372
0.31,LL,LP,False,False,L,L,L,P,2.2,0.69,-1.518
0.31,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.8900000000000001
0.31,PL,LL,False,False,P,L,L,L,1.2,-0.372,0.31
0.31,PL,PL,False,True,P,L,P,L,0.5800000000000001,0.13019999999999995,0.13019999999999995
0.31,PL,LP,False,False,P,L,L,P,1.58,0.7457999999999998,-0.7802
0.31,PL,PP,False,False,P,L,P,P,1.58,1.248,-0.96
0.31,LP,LL,False,False,L,P,L,L,2.2,-1.518,0.69
0.31,LP,PL,False,False,L,P,P,L,1.58,-0.7802,0.7457999999999998
0.31,LP,LP,False,True,L,P,L,P,0.8200000000000001,0.12419999999999991,0.12419999999999991
0.31,LP,PP,False,False,L,P,P,P,0.8200000000000001,0.8619999999999999,0.17999999999999988
0.31,PP,LL,False,False,P,P,L,L,2.2,-1.8900000000000001,1.0
0.31,PP,PL,False,False,P,P,P,L,1.58,-0.96,1.248
0.31,PP,LP,False,False,P,P,L,P,0.8200000000000001,0.17999999999999988,0.8619999999999999
0.31,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.1099999999999999,1.1099999999999999
0.32,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.32,LL,PL,False,False,L,L,P,L,1.2,0.32,-0.384
0.32,LL,LP,False,False,L,L,L,P,2.2,0.6799999999999999,-1.496
0.32,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.88
0.32,PL,LL,False,False,P,L,L,L,1.2,-0.384,0.32
0.32,PL,PL,False,True,P,L,P,L,0.56,0.14079999999999998,0.14079999999999998
0.32,PL,LP,False,False,P,L,L,P,1.56,0.7312,-0.7407999999999999
0.32,PL,PP,False,False,P,L,P,P,1.56,1.256,-0.9199999999999999
0.32,LP,LL,False,False,L,P,L,L,2.2,-1.496,0.6799999999999999
0.32,LP,PL,False,False,L,P,P,L,1.56,-0.7407999999999999,0.7312
0.32,LP,LP,False,True,L,P,L,P,0.8399999999999999,0.10880000000000005,0.10880000000000005
0.32,LP,PP,False,False,L,P,P,P,0.8399999999999999,0.8639999999999999,0.1600000000000001
0.32,PP,LL,False,False,P,P,L,L,2.2,-1.88,1.0
0.32,PP,PL,False,False,P,P,P,L,1.56,-0.9199999999999999,1.256
0.32,PP,LP,False,False,P,P,L,P,0.8399999999999999,0.1600000000000001,0.8639999999999999
0.32,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.12,1.12
0.33,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.33,LL,PL,False,False,L,L,P,L,1.2,0.33,-0.396
0.33,LL,LP,False,False,L,L,L,P,2.2,0.6699999999999999,-1.474
0.33,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.87
0.33,PL,LL,False,False,P,L,L,L,1.2,-0.396,0.33
0.33,PL,PL,False,True,P,L,P,L,0.54,0.1518,0.1518
0.33,PL,LP,False,False,P,L,L,P,1.54,0.7162,-0.7017999999999999
0.33,PL,PP,False,False,P,L,P,P,1.54,1.264,-0.8799999999999999
0.33,LP,LL,False,False,L,P,L,L,2.2,-1.474,0.6699999999999999
0.33,LP,PL,False,False,L,P,P,L,1.54,-0.7017999999999999,0.7162
0.33,LP,LP,False,True,L,P,L,P,0.8600000000000001,0.09379999999999988,0.09379999999999988
0.33,LP,PP,False,False,L,P,P,P,0.8600000000000001,0.8659999999999999,0.13999999999999987
0.33,PP,LL,False,False,P,P,L,L,2.2,-1.87,1.0
0.33,PP,PL,False,False,P,P,P,L,1.54,-0.8799999999999999,1.264
0.33,PP,LP,False,False,P,P,L,P,0.8600000000000001,0.13999999999999987,0.8659999999999999
0.33,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.13,1.13
0.34,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.34,LL,PL,False,False,L,L,P,L,1.2,0.34,-0.40800000000000003
0.34,LL,LP,False,False,L,L,L,P,2.2,0.6599999999999999,-1.452
0.34,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.8599999999999999
0.34,PL,LL,False,False,P,L,L,L,1.2,-0.40800000000000003,0.34
0.34,PL,PL,False,True,P,L,P,L,0.52,0.16319999999999998,0.16319999999999998
0.34,PL,LP,False,False,P,L,L,P,1.52,0.7007999999999999,-0.6631999999999998
0.34,PL,PP,False,False,P,L,P,P,1.52,1.272,-0.8399999999999999
0.34,LP,LL,False,False,L,P,L,L,2.2,-1.452,0.6599999999999999
0.34,LP,PL,False,False,L,P,P,L,1.52,-0.6631999999999998,0.7007999999999999
0.34,LP,LP,False,True,L,P,L,P,0.8800000000000001,0.07919999999999988,0.07919999999999988
0.34,LP,PP,False,False,L,P,P,P,0.8800000000000001,0.8679999999999999,0.11999999999999983
0.34,PP,LL,False,False,P,P,L,L,2.2,-1.8599999999999999,1.0
0.34,PP,PL,False,False,P,P,P,L,1.52,-0.8399999999999999,1.272
0.34,PP,LP,False,False,P,P,L,P,0.8800000000000001,0.11999999999999983,0.8679999999999999
0.34,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.1400000000000001,1.1400000000000001
0.35,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.35,LL,PL,False,False,L,L,P,L,1.2,0.35,-0.42
0.35,LL,LP,False,False,L,L,L,P,2.2,0.65,-1.4300000000000002
0.35,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.85
0.35,PL,LL,False,False,P,L,L,L,1.2,-0.42,0.35
0.35,PL,PL,False,True,P,L,P,L,0.5000000000000002,0.17499999999999993,0.17499999999999993
0.35,PL,LP,False,False,P,L,L,P,1.5,0.685,-0.6250000000000002
0.35,PL,PP,False,False,P,L,P,P,1.5,1.28,-0.8000000000000003
0.35,LP,LL,False,False,L,P,L,L,2.2,-1.4300000000000002,0.65
0.35,LP,PL,False,False,L,P,P,L,1.5,-0.6250000000000002,0.685
0.35,LP,LP,False,True,L,P,L,P,0.8999999999999998,0.06500000000000011,0.06500000000000011
0.35,LP,PP,False,False,L,P,P,P,0.8999999999999998,0.87,0.1000000000000002
0.35,PP,LL,False,False,P,P,L,L,2.2,-1.85,1.0
0.35,PP,PL,False,False,P,P,P,L,1.5,-0.8000000000000003,1.28
0.35,PP,LP,False,False,P,P,L,P,0.8999999999999998,0.1000000000000002,0.87
0.35,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.15,1.15
0.36,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.36,LL,PL,False,False,L,L,P,L,1.2,0.36,-0.432
0.36,LL,LP,False,False,L,L,L,P,2.2,0.64,-1.4080000000000001
0.36,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.84
0.36,PL,LL,False,False,P,L,L,L,1.2,-0.432,0.36
0.36,PL,PL,False,True,P,L,P,L,0.4799999999999999,0.18720000000000003,0.18720000000000003
0.36,PL,LP,False,False,P,L,L,P,1.48,0.6688000000000001,-0.5871999999999999
0.36,PL,PP,False,False,P,L,P,P,1.48,1.288,-0.76
0.36,LP,LL,False,False,L,P,L,L,2.2,-1.4080000000000001,0.64
0.36,LP,PL,False,False,L,P,P,L,1.48,-0.5871999999999999,0.6688000000000001
0.36,LP,LP,False,True,L,P,L,P,0.92,0.05119999999999997,0.05119999999999997
0.36,LP,PP,False,False,L,P,P,P,0.92,0.872,0.07999999999999996
0.36,PP,LL,False,False,P,P,L,L,2.2,-1.84,1.0
0.36,PP,PL,False,False,P,P,P,L,1.48,-0.76,1.288
0.36,PP,LP,False,False,P,P,L,P,0.92,0.07999999999999996,0.872
0.36,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.1600000000000001,1.1600000000000001
0.37,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.37,LL,PL,False,False,L,L,P,L,1.2,0.37,-0.444
0.37,LL,LP,False,False,L,L,L,P,2.2,0.63,-1.3860000000000001
0.37,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.83
0.37,PL,LL,False,False,P,L,L,L,1.2,-0.444,0.37
0.37,PL,PL,False,True,P,L,P,L,0.46000000000000013,0.19979999999999995,0.19979999999999995
0.37,PL,LP,False,False,P,L,L,P,1.46,0.6522000000000001,-0.5498000000000001
0.37,PL,PP,False,False,P,L,P,P,1.46,1.296,-0.7200000000000002
0.37,LP,LL,False,False,L,P,L,L,2.2,-1.3860000000000001,0.63
0.37,LP,PL,False,False,L,P,P,L,1.46,-0.5498000000000001,0.6522000000000001
0.37,LP,LP,False,True,L,P,L,P,0.9399999999999998,0.03780000000000011,0.03780000000000011
0.37,LP,PP,False,False,L,P,P,P,0.9399999999999998,0.874,0.06000000000000019
0.37,PP,LL,False,False,P,P,L,L,2.2,-1.83,1.0
0.37,PP,PL,False,False,P,P,P,L,1.46,-0.7200000000000002,1.296
0.37,PP,LP,False,False,P,P,L,P,0.9399999999999998,0.06000000000000019,0.874
0.37,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.17,1.17
0.38,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.38,LL,PL,False,False,L,L,P,L,1.2,0.38,-0.45599999999999996
0.38,LL,LP,False,False,L,L,L,P,2.2,0.62,-1.364
0.38,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.82
0.38,PL,LL,False,False,P,L,L,L,1.2,-0.45599999999999996,0.38
0.38,PL,PL,False,True,P,L,P,L,0.4399999999999999,0.21280000000000004,0.21280000000000004
0.38,PL,LP,False,False,P,L,L,P,1.44,0.6352,-0.5127999999999999
0.38,PL,PP,False,False,P,L,P,P,1.44,1.304,-0.6799999999999998
0.38,LP,LL,False,False,L,P,L,L,2.2,-1.364,0.62
0.38,LP,PL,False,False,L,P,P,L,1.44,-0.5127999999999999,0.6352
0.38,LP,LP,False,True,L,P,L,P,0.9600000000000001,0.02479999999999996,0.02479999999999996
0.38,LP,PP,False,False,L,P,P,P,0.9600000000000001,0.876,0.039999999999999925
0.38,PP,LL,False,False,P,P,L,L,2.2,-1.82,1.0
0.38,PP,PL,False,False,P,P,P,L,1.44,-0.6799999999999998,1.304
0.38,PP,LP,False,False,P,P,L,P,0.9600000000000001,0.039999999999999925,0.876
0.38,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.1800000000000002,1.1800000000000002
0.39,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.39,LL,PL,False,False,L,L,P,L,1.2,0.39,-0.46799999999999997
0.39,LL,LP,False,False,L,L,L,P,2.2,0.61,-1.342
0.39,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.81
0.39,PL,LL,False,False,P,L,L,L,1.2,-0.46799999999999997,0.39
0.39,PL,PL,False,True,P,L,P,L,0.4200000000000001,0.22619999999999996,0.22619999999999996
0.39,PL,LP,False,False,P,L,L,P,1.42,0.6178,-0.47619999999999996
0.39,PL,PP,False,False,P,L,P,P,1.42,1.312,-0.64
0.39,LP,LL,False,False,L,P,L,L,2.2,-1.342,0.61
0.39,LP,PL,False,False,L,P,P,L,1.42,-0.47619999999999996,0.6178
0.39,LP,LP,False,True,L,P,L,P,0.9799999999999999,0.012200000000000072,0.012200000000000072
0.39,LP,PP,False,False,L,P,P,P,0.9799999999999999,0.878,0.02000000000000013
0.39,PP,LL,False,False,P,P,L,L,2.2,-1.81,1.0
0.39,PP,PL,False,False,P,P,P,L,1.42,-0.64,1.312
0.39,PP,LP,False,False,P,P,L,P,0.9799999999999999,0.02000000000000013,0.878
0.39,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.19,1.19
0.4,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.4,LL,PL,False,False,L,L,P,L,1.2,0.4,-0.48
0.4,LL,LP,False,False,L,L,L,P,2.2,0.6,-1.32
0.4,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.8
0.4,PL,LL,False,False,P,L,L,L,1.2,-0.48,0.4
0.4,PL,PL,False,True,P,L,P,L,0.39999999999999986,0.24000000000000005,0.24000000000000005
0.4,PL,LP,False,False,P,L,L,P,1.4,0.6,-0.43999999999999984
0.4,PL,PP,False,False,P,L,P,P,1.4,1.32,-0.5999999999999998
0.4,LP,LL,False,False,L,P,L,L,2.2,-1.32,0.6
0.4,LP,PL,False,False,L,P,P,L,1.4,-0.43999999999999984,0.6
0.4,LP,LP,False,True,L,P,L,P,1.0,-8.326672684688674e-17,-8.326672684688674e-17
0.4,LP,PP,False,False,L,P,P,P,1.0,0.88,-1.1102230246251565e-16
0.4,PP,LL,False,False,P,P,L,L,2.2,-1.8,1.0
0.4,PP,PL,False,False,P,P,P,L,1.4,-0.5999999999999998,1.32
0.4,PP,LP,False,False,P,P,L,P,1.0,-1.1102230246251565e-16,0.88
0.4,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.2000000000000002,1.2000000000000002
0.41,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.41,LL,PL,False,False,L,L,P,L,1.2,0.41000000000000003,-0.49199999999999994
0.41,LL,LP,False,False,L,L,L,P,2.2,0.5900000000000001,-1.2980000000000003
0.41,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.7900000000000003
0.41,PL,LL,False,False,P,L,L,L,1.2,-0.49199999999999994,0.41000000000000003
0.41,PL,PL,False,True,P,L,P,L,0.38,0.25420000000000004,0.25420000000000004
0.41,PL,LP,False,False,P,L,L,P,1.38,0.5818000000000002,-0.40420000000000006
0.41,PL,PP,False,False,P,L,P,P,1.38,1.328,-0.56
0.41,LP,LL,False,False,L,P,L,L,2.2,-1.2980000000000003,0.5900000000000001
0.41,LP,PL,False,False,L,P,P,L,1.38,-0.40420000000000006,0.5818000000000002
0.41,LP,LP,False,True,L,P,L,P,1.0199999999999998,-0.011799999999999838,-0.011799999999999838
0.41,LP,PP,False,False,L,P,P,P,1.0199999999999998,0.8820000000000001,-0.019999999999999768
0.41,PP,LL,False,False,P,P,L,L,2.2,-1.7900000000000003,1.0
0.41,PP,PL,False,False,P,P,P,L,1.38,-0.56,1.328
0.41,PP,LP,False,False,P,P,L,P,1.0199999999999998,-0.019999999999999768,0.8820000000000001
0.41,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.21,1.21
0.42,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.42,LL,PL,False,False,L,L,P,L,1.2,0.42,-0.504
0.42,LL,LP,False,False,L,L,L,P,2.2,0.5800000000000001,-1.2760000000000002
0.42,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.7800000000000002
0.42,PL,LL,False,False,P,L,L,L,1.2,-0.504,0.42
0.42,PL,PL,False,True,P,L,P,L,0.36,0.2688,0.2688
0.42,PL,LP,False,False,P,L,L,P,1.3599999999999999,0.5632000000000001,-0.3688
0.42,PL,PP,False,False,P,L,P,P,1.3599999999999999,1.336,-0.52
0.42,LP,LL,False,False,L,P,L,L,2.2,-1.2760000000000002,0.5800000000000001
0.42,LP,PL,False,False,L,P,P,L,1.3599999999999999,-0.3688,0.5632000000000001
0.42,LP,LP,False,True,L,P,L,P,1.0399999999999998,-0.02319999999999986,-0.02319999999999986
0.42,LP,PP,False,False,L,P,P,P,1.0399999999999998,0.8840000000000001,-0.03999999999999976
0.42,PP,LL,False,False,P,P,L,L,2.2,-1.7800000000000002,1.0
0.42,PP,PL,False,False,P,P,P,L,1.3599999999999999,-0.52,1.336
0.42,PP,LP,False,False,P,P,L,P,1.0399999999999998,-0.03999999999999976,0.8840000000000001
0.42,PP,PP,False,True,P,P,P,P,0.19999999999999996,1.2200000000000002,1.2200000000000002
0.43,LL,LL,True,True,L,L,L,L,0.0,0.0,0.0
0.43,LL,PL,False,False,L,L,P,L,1.2,0.43,-0.516
0.43,LL,LP,False,False,L,L,L,P,2.2,0.5700000000000001,-1.2540000000000002
0.43,LL,PP,False,False,L,L,P,P,2.2,1.0,-1.7700000000000002
0.43,PL,LL,False,False,P,L,L,L,1.2,-0.516,0.43
0.43,PL,PL,False,True,P,L,P,L,0.33999999999999997,0.28380000000000005,0.28380000000000005
0.43,PL,LP,False,False,P,L,L,P,1.3399999999999999,0.5442000000000002,-0.3338000000000001
0.43,PL,PP,False,False,P,L,P,P,1.3399999999999999,1.344,-0.48000000000000004
0.43,LP,LL,False,False,L,P,L,L,2.2,-1.2540000000000002,0.5700000000000001
0.43,LP,PL,False,False,L,P,P,L,1.3399999999999999,-0.3338000000000001,0.5442000000000002
0.43,LP,LP,False,True,L,P,L,P,1.0599999999999998,-0.03419999999999987,-0.03419999999999987
0.43,LP,PP,False,False,L,P,P,P,1.0599999999999998,0.8860000000000001,-0.059999999999999776
